Day,Startrek
2016-06-22,4
2016-06-23,4
2016-06-24,4
2016-06-25,6
2016-06-26,7
2016-06-27,9
2016-06-28,10
2016-06-29,9
2016-06-30,8
2016-07-01,9
2016-07-02,10
2016-07-03,11
2016-07-04,9
2016-07-05,8
2016-07-06,9
2016-07-07,10
2016-07-08,13
2016-07-09,14
2016-07-10,14
2016-07-11,11
2016-07-12,13
2016-07-13,15
2016-07-14,15
2016-07-15,18
2016-07-16,28
2016-07-17,27
2016-07-18,25
2016-07-19,31
2016-07-20,43
2016-07-21,65
2016-07-22,100
